 DoctorID, Doctor first name, Doctor last name, Doctor middle name,Primary  specialty code,Primary  specialty description,Secondary specialty code,Secondary specilaty description, Doctor state, Doctor state code, Doctor zip
1270575,Hzzzz,Heee,Vdddddd,HEM,HEMATOLOGY (INTERNAL MEDICINE),ON,MEDICAL ONCOLOGY,ARIZONA,AZ,85006
1423757,Rkkkk,Syyyyyy,Jjjjj,D,DERMATOLOGY,FM,FAMILY MEDICINE,PENNSYLVANIA,PA,19609
2030384,Aqqq,Qbbbbb,Jyyy,ON,MEDICAL ONCOLOGY,IM,INTERNAL MEDICINE,TEXAS,TX,75390
1573852,Ikkkkk,Nuuuu,Ewwww,IM,INTERNAL MEDICINE,,,FLORIDA,FL,32308
1480166,Maaaaa,Uuuuuuuu,Cpp,FM,FAMILY MEDICINE,,,WASHINGTON,WA,98370
1710096,Tmmmmmm,Qvvvvv,Q,GE,GASTROENTEROLOGY,,,KENTUCKY,KY,42431
2054664,Awwwwww,Pxxxxxx,Dy,FM,FAMILY MEDICINE,GP,GENERAL PRACTICE,ILLINOIS,IL,61455
28186423,Wtttt,Kbbbbb,Znnnnnnn,NEP,NEPHROLOGY,IM,INTERNAL MEDICINE,OHIO,OH,44504
11965188,Ekkk,Kgggggg,  ,,,,,,,
1291005,Nccccccc,Occcccccc,  ,,,,,NEBRASKA,NE,68521
612306,Sllllllll,Ejjjjj,Mtttttt,AI,ALLERGY AND IMMUNOLOGY,IM,INTERNAL MEDICINE,KENTUCKY,KY,41101
896921,Jjjjjjj,Jkkkkk,Bwww,IM,INTERNAL MEDICINE,,,FLORIDA,FL,33028
658262,Ydddd,Niiiiii,Glllll,PN,PEDIATRIC NEPHROLOGY,,,KENTUCKY,KY,40517
1560932,Ifffff,Ckkkkk,Illlllll,PUD,PULMONARY DISEASE,CCM,CRITICAL CARE MEDICINE (INTERNAL MED),NEVADA,NV,89102
1667920,Vtttttt,Feee,  ,,,,,ALASKA,AK,99508
536990,Bllll,Dkkkkkkkkk,  ,EM,EMERGENCY MEDICINE,IM,INTERNAL MEDICINE,IOWA,IA,51555
211922,Kxxxx,Bppppppp,Nyyy,END,"ENDOCRINOLOGY, DIABETES AND METABOLISM",PDE,PEDIATRIC ENDOCRINOLOGY,OKLAHOMA,OK,74135
33835147,Illllllll,Koooooo,Uuuuu,IM,INTERNAL MEDICINE,GPM,GENERAL PREVENTIVE MEDICINE,TEXAS,TX,75214
879341,Rvvvvv,Noooooo,Qwwwwww,PN,PEDIATRIC NEPHROLOGY,PD,PEDIATRICS,MAINE,ME,4102
1470478,Nllllllll,Aeeeee,Ollll,CHN,CHILD NEUROLOGY,PD,PEDIATRICS,ILLINOIS,IL,60612
2094372,Jlll,Gfffff,M,D,DERMATOLOGY,IM,INTERNAL MEDICINE,WISCONSIN,WI,53209
23615341,Xiiii,Aiiiii,Gnnnnnn,PN,PEDIATRIC NEPHROLOGY,PD,PEDIATRICS,MISSOURI,MO,63104
441477,Giiiii,Vwwwww,Pvvvvv,HO,HEMATOLOGY/ONCOLOGY,IM,INTERNAL MEDICINE,KENTUCKY,KY,42701
583037,Dq,Aoooo,Kcccccc,GPM,GENERAL PREVENTIVE MEDICINE,OM,OCCUPATIONAL MEDICINE,ALASKA,AK,99508
